company_name,domain,industry,country
HubSpot,hubspot.com,Marketing Software,US
Asana,asana.com,Productivity Software,US
Notion Labs,notion.so,Productivity Software,US
Datadog,datadoghq.com,Observability,US
Snowflake,snowflake.com,Data Platform,US
Twilio,twilio.com,Communications API,US
Cloudflare,cloudflare.com,Internet Infrastructure,US
Stripe,stripe.com,Payments,US
Segment,segment.com,Customer Data Platform,US
Linear,linear.app,Project Management,US
Vercel,vercel.com,Developer Platform,US
A.P. Moller-Maersk,maersk.com,Logistics,Denmark
